City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Date
Jiangyan,CN,32.5061,120.1428,53.85,70,0,7.18,1619725815
Blind River,CA,46.1834,-82.9582,57.2,51,90,8.05,1619725815
Vestmannaeyjar,IS,63.4427,-20.2734,44.04,76,96,9.31,1619725815
Nyandoma,RU,61.669,40.1991,28.9,87,97,5.35,1619725816
Oistins,BB,13.0667,-59.5333,80.6,61,20,12.66,1619725816
Kavieng,PG,-2.5744,150.7967,82.0,75,44,7.0,1619725816
Lüderitz,,-26.6481,15.1594,58.39,66,0,22.59,1619725817
Cabedelo,BR,-6.9811,-34.8339,82.4,74,75,9.22,1619725817
Portland,US,45.5234,-122.6762,71.8,37,1,3.44,1619725816
Montluçon,FR,46.3333,2.6,50.0,72,97,4.43,1619725817
Horadiz,AZ,39.4488,47.3353,60.8,82,0,9.22,1619725817
Fredonia,US,42.4401,-79.3317,52.2,93,90,5.75,1619725531
Butaritari,KI,3.0707,172.7902,83.34,75,100,15.82,1619725818
Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,42,0,14.97,1619725818
Almuñécar,ES,36.7339,-3.6907,58.73,74,8,3.0,1619725818
Capão da Canoa,BR,-29.7456,-50.0097,68.02,70,3,5.32,1619725819
Abū Zabad,SD,12.35,29.25,78.93,49,100,14.56,1619725819
Barrow,US,71.2906,-156.7887,19.4,86,90,8.05,1619725627
Tuatapere,NZ,-46.1333,167.6833,51.01,92,100,7.0,1619725819
Padang,ID,-0.9492,100.3543,76.33,91,100,4.85,1619725820
Tortolì,IT,39.9256,9.6572,62.6,88,0,4.61,1619725820
Coyhaique,CL,-45.5752,-72.0662,60.8,72,75,6.91,1619725820
Dikson,RU,73.5069,80.5464,-1.62,99,96,6.87,1619725820
Tiksi,RU,71.6872,128.8694,28.76,86,87,8.84,1619725821
Seoul,KR,37.5683,126.9778,47.62,93,90,5.75,1619725628
Alice Springs,AU,-23.7,133.8833,42.8,61,5,1.14,1619725821
Chicama,PE,-7.8447,-79.1469,64.4,88,75,11.5,1619725821
Ryabovo,RU,59.4,31.1333,33.08,52,0,2.24,1619725821
Mar del Plata,AR,-38.0023,-57.5575,75.2,53,0,14.97,1619725822
Laramie,US,41.3114,-105.5911,60.03,26,1,3.44,1619725541
Coahuayana Viejo,MX,18.7333,-103.6833,82.4,54,40,7.94,1619725822
Beloha,MG,-25.1667,45.05,73.74,74,0,7.38,1619725822
Andrews,US,32.3187,-102.5457,55.4,100,90,10.36,1619725822
Norman Wells,CA,65.282,-126.8329,39.2,41,75,11.5,1619725823
Togur,RU,58.3631,82.8265,41.56,88,100,13.33,1619725823
Richards Bay,ZA,-28.783,32.0377,73.58,85,75,13.2,1619725823
Faya,SA,18.3851,42.4509,60.8,72,40,6.91,1619725824
Morón,AR,-34.6534,-58.6198,74.73,41,0,9.22,1619725531
Cayenne,GF,4.9333,-52.3333,86.0,66,75,2.3,1619725824
La Rioja,ES,42.25,-2.5,50.0,87,90,4.61,1619725824
Ahar,IR,38.4774,47.0699,56.93,79,82,4.27,1619725618
San Policarpo,PH,12.1791,125.5072,76.96,82,59,2.37,1619725825
Bundaberg,AU,-24.85,152.35,65.46,94,40,6.91,1619725825
Nguru,NG,12.8791,10.4526,92.17,7,1,7.85,1619725825
Avera,US,33.194,-82.5271,82.85,48,75,13.8,1619725825
Tilichiki,RU,60.4667,166.1,31.41,99,100,1.1,1619725826
Yerbogachën,RU,61.2767,108.0108,20.98,97,52,2.53,1619725826
Gimli,CA,50.6336,-96.9907,32.0,74,95,9.22,1619725826
Ola,RU,59.5833,151.2833,28.71,77,16,5.1,1619725826
Channel-Port aux Basques,CA,47.5702,-59.1367,39.29,88,97,8.57,1619725827
Río Gallegos,AR,-51.6226,-69.2181,42.8,87,90,5.75,1619725827
Chikwawa,MW,-16.0335,34.8009,75.83,76,35,1.72,1619725827
Saint Anthony,US,45.0205,-93.21799999999999,64.71,29,1,16.11,1619725828
Calabozo,VE,8.9242,-67.4293,70.95,92,100,9.82,1619725828
Saint-Philippe,RE,-21.3585,55.7679,71.19,83,38,6.91,1619725828
Kabanjahe,ID,3.1001,98.4908,77.0,88,40,3.44,1619725828
Rexburg,US,43.826,-111.7897,65.93,25,1,4.61,1619725580
East London,ZA,-33.0153,27.9116,65.14,81,100,7.83,1619725829
Ayan,RU,56.45,138.1667,31.24,68,99,6.76,1619725829
Samarai,PG,-10.6167,150.6667,79.61,77,49,7.76,1619725829
Acarí,PE,-15.4311,-74.6158,77.61,56,10,10.04,1619725830
Lebu,CL,-37.6167,-73.65,60.8,81,100,7.09,1619725830
Menzel Kamel,TN,35.6248,10.6673,64.4,88,0,9.22,1619725830
Klaksvík,FO,62.2266,-6.5889999999999995,37.4,70,75,12.66,1619725831
Tazovsky,RU,67.4667,78.7,28.87,95,100,6.08,1619725831
Cape Town,ZA,-33.9258,18.4232,56.73,76,20,10.36,1619725602
Hasaki,JP,35.7333,140.8333,57.7,88,75,9.22,1619725831
Port Hardy,CA,50.6996,-127.4199,51.1,87,90,13.8,1619725831
Iwaki,JP,37.05,140.8833,55.33,68,69,7.0,1619725832
Nanortalik,GL,60.1432,-45.2371,39.27,80,16,8.43,1619725832
Sangar,RU,63.9242,127.4739,19.51,96,100,3.53,1619725832
Gladstone,AU,-23.85,151.25,68.0,73,75,8.05,1619725833
Ganzhou,CN,28.8184,115.4327,62.96,81,0,5.28,1619725833
Carnarvon,AU,-24.8667,113.6333,71.6,88,90,12.66,1619725833
Thinadhoo,MV,0.5333,72.9333,83.48,71,59,7.4,1619725834
Eureka,US,40.8021,-124.1637,59.11,72,100,3.0,1619725834
Carauari,BR,-4.8828,-66.8958,78.75,90,87,3.18,1619725834
Udachny,RU,66.4167,112.4,10.83,99,93,5.1,1619725834
Lábrea,BR,-7.2586,-64.7981,79.86,91,99,0.89,1619725835
Buedu,SL,8.2803,-10.3719,76.66,82,98,4.97,1619725835
Fort Frances,CA,48.5999,-93.4003,53.06,35,75,11.5,1619725808
Løding,NO,67.3,14.75,36.32,87,75,21.85,1619725835
Pevek,RU,69.7008,170.3133,17.56,93,100,7.96,1619725835
Clyde River,CA,70.4692,-68.5914,26.6,100,90,10.36,1619725836
San Juan Sacatepéquez,GT,14.7189,-90.6442,73.36,53,20,13.8,1619725836
George Town,MY,5.4112,100.3354,77.97,94,20,4.61,1619725558
Marawi,PH,7.9986,124.2928,75.99,89,52,7.0,1619725836
Wanxian,CN,30.8039,108.3897,65.61,83,9,2.42,1619725837
Socorro,US,31.6546,-106.3033,50.81,66,90,20.71,1619725837
Worland,US,44.0169,-107.9554,67.62,24,1,4.61,1619725837
Poum,NC,-20.2333,164.0167,75.67,57,45,14.74,1619725837
Teknāf,BD,20.8624,92.3058,77.94,86,1,1.28,1619725838
Hamilton,US,39.1834,-84.5333,65.53,94,90,6.91,1619725831
Husavik,IS,66.0449,-17.3389,41.0,75,0,14.97,1619725838
Ratnagiri,IN,16.9833,73.3,82.38,74,23,4.05,1619725838
Pochutla,MX,15.7432,-96.4661,89.29,45,90,17.27,1619725839
Fairbanks,US,64.8378,-147.7164,43.92,52,90,2.35,1619725806
Majene,ID,-3.5403,118.9707,77.45,86,39,4.52,1619725839
Malmesbury,ZA,-33.4608,18.7271,56.35,76,20,10.36,1619725839
Altar,MX,30.7,-111.8167,84.99,24,0,10.0,1619725839
Robe,AU,-37.1833,139.75,56.91,76,0,8.99,1619725840
Miquelon,PM,47.0975,-56.3814,46.4,66,20,10.36,1619725840
Tūkrah,LY,32.5341,20.5791,80.8,22,100,7.58,1619725840
Kulhudhuffushi,MV,6.6221,73.07,83.17,75,99,7.92,1619725841
Manbij,SY,36.5281,37.9549,66.2,52,0,9.04,1619725841
Straubing,DE,48.8833,12.5667,45.63,68,100,3.0,1619725841
Bull Savanna,JM,17.8868,-77.5902,81.36,62,35,15.59,1619725841
Bengkulu,ID,-3.8004,102.2655,75.7,91,87,4.5,1619725842
Nehe,CN,48.4833,124.8333,40.44,89,100,6.06,1619725842
Castro,BR,-24.7911,-50.0119,64.11,59,2,6.67,1619725842
Deputatsky,RU,69.3,139.9,12.33,99,71,1.97,1619725842
Pitsunda,GE,43.1592,40.3378,53.31,94,18,2.24,1619725843
Saint-Augustin,CA,51.226000000000006,-58.6502,44.67,68,100,2.42,1619725843
Yulara,AU,-25.2406,130.9889,51.8,50,5,5.75,1619725843
Voyvozh,RU,62.891999999999996,54.9635,29.37,73,100,3.96,1619725844
Ituaçu,BR,-13.8133,-41.2967,79.36,59,52,5.66,1619725844
Batagay,RU,67.6333,134.6333,22.14,97,98,2.04,1619725844
Nome,US,64.5011,-165.4064,25.84,74,1,14.97,1619725844
Kahului,US,20.8947,-156.47,72.43,83,40,12.66,1619725843
Yar-Sale,RU,66.8333,70.8333,22.39,95,100,7.76,1619725845
Yangi Marg`ilon,UZ,40.4272,71.7189,64.99,63,0,2.3,1619725845
Vasil'sursk,RU,56.1275,46.0072,35.55,76,36,3.62,1619725845
Mosquera,CO,4.7059,-74.2302,64.4,63,40,13.8,1619725588
Beringovskiy,RU,63.05,179.3167,26.56,74,99,3.49,1619725846
Dingle,PH,10.9995,122.6711,73.78,76,41,3.27,1619725846
Zyryanka,RU,65.75,150.85,29.16,89,100,3.18,1619725846
Sistranda,NO,63.7256,8.834,39.2,70,20,9.22,1619725846
Saldanha,ZA,-33.0117,17.9442,59.0,67,0,18.41,1619725806
Purranque,CL,-40.9167,-73.1667,65.44,72,75,4.61,1619725700
Pavlogradka,RU,54.2024,73.5592,44.78,61,0,8.39,1619725847
Vigrestad,NO,58.5667,5.7,47.71,53,0,9.22,1619725847
Tezu,IN,27.9167,96.1667,79.02,34,100,4.52,1619725847
Kimbe,PG,-5.5502,150.1429,74.3,88,17,3.96,1619725848
Tarakan,ID,3.3,117.6333,80.33,77,19,0.43,1619725848
São Filipe,CV,14.8961,-24.4956,73.54,75,24,16.6,1619725848
Port Lincoln,AU,-34.7333,135.8667,63.41,68,3,9.89,1619725848
Belyy Yar,RU,53.6039,91.3903,46.4,76,0,4.47,1619725849
Farafangana,MG,-22.8167,47.8333,73.24,87,18,7.36,1619725849
Kalmar,SE,56.6616,16.3616,44.8,76,100,10.36,1619725849
Kashgar,CN,39.4547,75.9797,68.0,19,2,4.47,1619725850
Voronovytsya,UA,49.1095,28.6808,55.99,72,84,8.97,1619725850
Flinders,AU,-34.5833,150.8552,53.01,88,0,1.01,1619725850
Maneromango,TZ,-7.1988,38.7848,75.2,94,90,1.88,1619725850
Ji’an,CN,27.1172,114.9793,62.31,81,0,4.74,1619725851
Camacha,PT,33.0833,-16.3333,62.6,59,40,11.5,1619725851
Barra do Bugres,BR,-15.0725,-57.1811,82.71,52,100,0.38,1619725851
San Cristobal,VE,7.7669,-72.225,75.2,100,75,4.61,1619725851
Termoli,IT,41.9888,14.9895,61.11,83,100,4.25,1619725852
Honningsvåg,NO,70.9821,25.9704,28.4,93,90,18.41,1619725852
Tasiilaq,GL,65.6145,-37.6368,33.8,86,40,4.61,1619725852
Thunder Bay,CA,48.4001,-89.3168,55.4,44,75,14.97,1619725757
Severo-Kuril'sk,RU,50.6789,156.125,35.38,88,47,4.63,1619725853
Bom Jardim,BR,-7.7958,-35.5872,78.8,73,75,14.97,1619725853
Megion,RU,61.0296,76.1136,35.6,100,20,6.71,1619725854
Acaraú,BR,-2.8856,-40.12,79.41,82,85,13.09,1619725854
Asău,RO,46.4333,26.4,50.0,66,8,4.94,1619725854
Cockburn Town,TC,21.4612,-71.1419,82.4,61,40,16.11,1619725616
Umm Kaddadah,SD,13.6017,26.6876,85.39,12,60,10.63,1619725855
Zakharovo,RU,54.36600000000001,39.2792,42.4,46,83,7.16,1619725855
Kondinskoye,RU,59.6481,67.41,39.09,83,82,10.22,1619725855
Mareeba,AU,-17.0,145.4333,65.07,83,62,11.5,1619725856
Pitimbu,BR,-7.4706,-34.8086,82.4,74,75,9.22,1619725856
Bokoro,TD,12.3807,17.0568,91.06,11,3,5.17,1619725856
Bandarbeyla,SO,9.4942,50.8122,83.86,75,45,9.28,1619725857
Adrar,MR,20.5022,-10.0711,88.36,20,81,11.63,1619725857
Port Elizabeth,ZA,-33.918,25.5701,57.2,94,20,12.66,1619725857
Pop,UZ,40.8736,71.1089,68.0,45,21,8.21,1619725857
Erbil,IQ,36.1926,44.0106,71.6,24,7,1.59,1619725761
Maningrida,AU,-12.0667,134.2667,72.34,86,100,7.92,1619725858
Verkhnyaya Balkariya,RU,43.1279,43.4573,57.11,77,75,6.71,1619725858
Zhangye,CN,38.9342,100.4517,59.32,22,0,4.09,1619725858
Gashua,NG,12.870999999999999,11.0482,88.72,8,3,9.98,1619725859
San Patricio,US,28.017,-97.5169,77.29,100,90,6.91,1619725859
Sterling,US,39.0062,-77.4286,80.89,51,20,8.05,1619725859
Rocha,UY,-34.4833,-54.3333,68.23,65,0,0.92,1619725859
Masallātah,LY,32.6167,14.0,79.14,35,40,6.38,1619725860
Japura,ID,-0.3167,102.35,73.78,98,100,1.07,1619725860
Panabá,MX,21.2833,-88.2667,98.31,26,2,16.24,1619725860
Iqaluit,CA,63.7506,-68.5145,33.39,93,90,14.97,1619725799
Zhezkazgan,KZ,47.8043,67.7144,54.93,53,95,18.84,1619725860
Beira,MZ,-19.8436,34.8389,77.0,83,20,8.01,1619725861
Vao,NC,-22.6667,167.4833,73.98,61,46,19.15,1619725861
Bam,IR,29.105999999999998,58.357,79.95,25,79,7.18,1619725861
Talnakh,RU,69.4865,88.3972,27.81,96,99,3.89,1619725862
Calama,CL,-22.4667,-68.9333,69.8,11,0,16.11,1619725633
Ereymentau,KZ,51.6199,73.1033,45.72,61,54,6.55,1619725862
Murwāra,IN,23.85,80.4,87.89,9,0,1.68,1619725862
Santa Inês,BR,-3.6667,-45.38,80.8,88,95,2.53,1619725862
Teahupoo,PF,-17.8333,-149.2667,84.09,65,20,5.75,1619725863
Lagos,NG,6.5833,3.75,82.4,83,20,2.3,1619725863
Cooma,AU,-36.2333,149.1333,41.0,100,90,6.91,1619725863
Mazatlán,MX,23.2167,-106.4167,81.34,51,1,11.5,1619725864
Kamenka,RU,51.3223,42.7678,44.01,58,15,6.29,1619725864
Canala,NC,-21.5333,165.95,64.4,88,75,3.44,1619725864
Shimanovsk,RU,52.0,127.7,35.94,78,37,9.46,1619725864
Bubaque,GW,11.2833,-15.8333,78.13,72,6,16.64,1619725865
College,US,64.8569,-147.8028,43.75,52,75,2.26,1619725865
Chokurdakh,RU,70.6333,147.9167,-1.46,99,97,3.09,1619725865
Areosa,PT,41.7178,-8.8571,54.72,71,40,10.36,1619725865
Gīdam,IN,18.9833,81.4,78.55,46,2,1.52,1619725866
São João da Barra,BR,-21.6403,-41.0511,75.2,69,0,16.11,1619725866
Powell River,CA,49.8496,-124.5361,56.37,72,90,5.75,1619725792
Nioaque,BR,-21.1353,-55.83,86.79,18,83,4.0,1619725866
Guarapari,BR,-20.6667,-40.4975,77.0,78,75,13.8,1619725867
Winton,US,37.3894,-120.6133,83.16,20,1,4.61,1619725867
Saint-Joseph,RE,-21.3667,55.6167,71.31,83,22,6.91,1619725867
Vila Franca do Campo,PT,37.7167,-25.4333,59.0,63,20,9.22,1619725867
Verkhoyansk,RU,67.5447,133.385,21.65,97,95,2.77,1619725868
Campbell River,CA,50.0163,-125.2446,54.25,82,90,9.22,1619725641
Nicoya,CR,10.1483,-85.45200000000001,84.2,65,75,9.22,1619725868
Biggar,GB,55.6167,-3.5167,41.34,87,40,2.3,1619725868
Myskhako,RU,44.6714,37.7433,55.2,82,0,6.71,1619725868
Sinnamary,GF,5.3833,-52.95,76.69,90,100,13.67,1619725869
Jauja,PE,-11.7758,-75.4966,59.13,51,52,7.87,1619725869
Maceió,BR,-9.6658,-35.7353,84.2,65,40,12.66,1619725570
Fredericksburg,US,38.3032,-77.4605,83.3,42,1,13.8,1619725869
Madimba,TZ,-10.4,40.3333,76.35,92,40,6.4,1619725870
Laguna,US,38.421,-121.4238,83.55,24,1,4.61,1619725870
Byron Bay,AU,-28.65,153.6167,57.31,94,96,8.05,1619725655
Namatanai,PG,-3.6667,152.4333,78.46,83,56,4.63,1619725870
Turukhansk,RU,65.8167,87.9833,28.47,94,94,10.56,1619725870
Minggang,CN,32.4586,114.0486,63.68,68,0,6.55,1619725871
Korla,CN,41.7597,86.1469,69.12,16,0,4.61,1619725871
San Borja,BO,-14.8167,-66.85,77.34,56,50,4.47,1619725871
Chino Valley,US,34.7575,-112.4538,76.64,16,0,5.01,1619725871
Coos Bay,US,43.3665,-124.2179,58.35,76,1,6.91,1619725872
Nybro,SE,56.7446,15.9071,43.52,76,100,10.36,1619725872
Newtownards,GB,54.5924,-5.6909,44.17,65,35,10.36,1619725872
Kaitangata,NZ,-46.2817,169.8464,55.0,79,100,4.0,1619725872
Newtonmore,GB,57.066,-4.1192,42.87,75,20,11.5,1619725873
Guerrero Negro,MX,27.9769,-114.0611,76.12,38,0,13.69,1619725873
Maricá,BR,-22.9194,-42.8186,74.55,78,75,4.61,1619725825
Popondetta,PG,-8.7537,148.2534,70.47,95,69,3.06,1619725873
Plátanos,GR,37.6667,21.6167,59.49,94,0,4.29,1619725874
Elliot,ZA,-31.3333,27.85,51.78,96,100,3.0,1619725874
Khandyga,RU,62.6667,135.6,28.92,99,100,1.99,1619725874
Central Point,US,42.376000000000005,-122.9164,78.24,33,98,3.0,1619725874
Tual,ID,-5.6667,132.75,82.45,74,99,6.4,1619725875
Taloqan,AF,36.7361,69.5345,72.46,32,5,4.99,1619725875
Waycross,US,31.2136,-82.354,86.61,42,75,10.36,1619725807
Sajanan,TN,37.0573,9.2426,63.55,77,20,4.61,1619725875
Khorixas,,-20.3667,14.9667,67.39,44,8,7.31,1619725876
Danville,US,36.586,-79.395,83.55,42,40,17.27,1619725635
Zaraza,VE,9.3503,-65.3245,73.24,87,100,4.14,1619725876
Sydney Mines,CA,46.2367,-60.2177,50.5,62,75,12.66,1619725876
Constitución,CL,-35.3333,-72.4167,61.61,69,100,2.04,1619725876
Tessalit,ML,20.1986,1.0114,96.84,7,84,4.88,1619725877
Dzhida,RU,50.6772,106.1806,35.47,71,99,2.33,1619725877
